config,massa_g0_fin,qualita_fin,continuita_media,fedelta,max_dVdt,fraz_dVdt_nonpos,novita_fin,t_rec,recuperato
"A base (stimolo, bianco)",1.0,0.4876702445236567,0.9994766088410226,0.9999988192266612,-6.828884956211802,1.0,0.012084571231296685,0.3,False
B rumore nullo (gamma=0),1.0,0.4876702445236567,0.9994766088410226,1.0,-6.828885043291246,1.0,0.012084510996286713,0.3,False
C rumore alto (gamma=0.15),1.0,0.4876702445236567,0.9994766088410226,0.9999335938363783,-6.82888435587973,1.0,0.012084962304074985,0.3,False
D rumore OU colorato,1.0,0.4876702445236567,0.9994766088410226,0.9994274235329681,-6.828884604577656,1.0,0.012083430755513283,0.3,False
E creativita' alta (beta=2.0),1.0,0.4876702445236567,0.9994766088410226,0.9999988157202604,-6.828865776109002,1.0,0.012288677608047742,0.3,False
F protocollo rilassamento,1.0,0.4871945789204807,0.9994901505974407,0.999998822553204,-6.80256859378809,1.0,0.012083841841769992,0.3,False
G adattamento forte (alpha=8.0),1.0,0.2554356602344565,0.9993544080455422,0.9999988003869028,-5.448595328399076,1.0,0.012087472378636218,0.24305555555555555,True
