config,n_seed,massa_g0_fin_mean,massa_g0_fin_std,qualita_fin_mean,qualita_fin_std,continuita_media_mean,continuita_media_std,fedelta_mean,fedelta_std,max_dVdt_mean,max_dVdt_std,fraz_dVdt_nonpos_mean,fraz_dVdt_nonpos_std,novita_fin_mean,novita_fin_std,gate_fin_mean,gate_fin_std,t_rec_mean,t_rec_std,adattamento_mean,adattamento_std,recuperato_frac
1 solo diffusione,5,1.0,0.0,0.7088344544507041,0.0,0.9995577996019973,0.0,1.0,0.0,-5.567061593247883,6.963366566182453e-07,1.0,0.0,0.011794196595716603,0.00015755110678690784,0.0614555217040393,7.757919228897728e-18,1.0,0.0,0.20399966189205454,0.0,0.0
2 g0+gx (senza gy),5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,1.0,0.0,-6.828897098282722,6.963366582704043e-07,1.0,0.0,0.011794196595716603,0.00015755110678690784,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
3 completo,5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.9987851725672702,0.0001622986775314944,-6.828881196881741,2.248660994619928e-06,1.0,0.0,0.011940392272585743,0.0001667076984553534,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
"4 completo senza vincolo (ky=0, K=5)",5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.9988467653668401,0.0001559010370783314,-6.828852725673831,2.666125123192417e-06,1.0,0.0,0.012367871160926674,0.00017275903012815917,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
5 completo senza rumore,5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,1.0,0.0,-6.828884331382208,9.897138968894041e-07,1.0,0.0,0.011950299897854842,0.00016198926496422257,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
6 rumore eccessivo (gamma=0.25),5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.8863587107331178,0.014045602725695133,-6.82874189658862,7.218033973502644e-05,1.0,0.0,0.012547718920035585,0.00018852411581605493,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
