config,massa_g0_fin,qualita_fin,continuita_media,fedelta,max_dVdt,fraz_dVdt_nonpos,novita_fin,t_rec,recuperato,adattamento
1 solo diffusione,1.0,0.7088344544507041,0.9995577996019973,1.0,-5.567062746639227,1.0,0.011925554751727694,1.0,False,0.20399966189205454
2 g0+gx (senza gy),1.0,0.4876702445236567,0.9994766088410226,1.0,-6.828898251674069,1.0,0.011925554751727694,0.487306896909566,True,0.47928422533195636
3 completo,1.0,0.4876702445236567,0.9994766088410226,0.9986431170321849,-6.828881300613744,1.0,0.012086545009698912,0.487306896909566,True,0.47928422533195636
"4 completo senza vincolo (ky=0, K=5)",1.0,0.4876702445236567,0.9994766088410226,0.998709761088155,-6.828852187346395,1.0,0.012519134950644592,0.487306896909566,True,0.47928422533195636
5 completo senza rumore,1.0,0.4876702445236567,0.9994766088410226,1.0,-6.828885043291246,1.0,0.012084510996286713,0.487306896909566,True,0.47928422533195636
6 rumore eccessivo (gamma=0.25),1.0,0.4876702445236567,0.9994766088410226,0.8924392301047999,-6.828722325015778,1.0,0.01275971773768462,0.487306896909566,True,0.47928422533195636
