config,n_seed,massa_g0_fin_mean,massa_g0_fin_std,qualita_fin_mean,qualita_fin_std,continuita_media_mean,continuita_media_std,fedelta_mean,fedelta_std,max_dVdt_mean,max_dVdt_std,fraz_dVdt_nonpos_mean,fraz_dVdt_nonpos_std,novita_fin_mean,novita_fin_std,gate_fin_mean,gate_fin_std,t_rec_mean,t_rec_std,adattamento_mean,adattamento_std,recuperato_frac
"A base (stimolo, bianco)",5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.9987851725672702,0.0001622986775314944,-6.828881196881741,2.248660994619928e-06,1.0,0.0,0.011940392272585743,0.0001667076984553534,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
B rumore nullo (gamma=0),5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,1.0,0.0,-6.828884331382208,9.897138968894041e-07,1.0,0.0,0.011950299897854842,0.00016198926496422257,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
C rumore alto (gamma=0.15),5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.9493443327667486,0.005651056529139695,-6.828831084236382,2.9708230332201514e-05,1.0,0.0,0.012065716822016575,0.00018956724446757883,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
D rumore OU colorato,5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.9501594142314328,0.006635570334048444,-6.828855673918929,1.6042449569977454e-05,1.0,0.0,0.011875885837592467,0.00024360060086402706,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
E creativita' alta (beta=2.0),5,1.0,0.0,0.48767024452365676,6.206335383118183e-17,0.9994766088410227,1.2412670766236366e-16,0.9987857052206129,0.00016435206702200333,-6.828862874213989,2.717472096545372e-06,1.0,0.0,0.012139776887773358,0.00017275426699186065,0.06429963205616494,0.0,0.4873068969095661,6.206335383118183e-17,0.47928422533195636,0.0,1.0
F protocollo rilassamento,5,1.0,0.0,0.4871945789204807,0.0,0.9994901505974407,0.0,0.998789438580793,0.00016257261360508096,-6.802564860322259,2.218305337621764e-06,1.0,0.0,0.011939607552451775,0.00016664852325922963,0.06370647163838487,0.0,0.48730689690956774,0.0,0.4797958393992823,0.0,1.0
G adattamento forte (alpha=8.0),5,1.0,0.0,0.2554356602344565,0.0,0.9993544080455422,0.0,0.9987626278759179,0.00016168502596982786,-5.448591424361055,2.3108113471369827e-06,1.0,0.0,0.011943598008903138,0.00016671710939473636,0.06733377302646879,0.0,0.2392611804863662,3.1031676915590914e-17,0.7311615926412929,0.0,1.0
